Package Name	Version	Top-level Module	Apt_version
a38	0.1.2	a38	0.1.2-2
aalib	$	aalib	0.3.2-4
access2base	$	access2base	1:6.4.7-0ubuntu0.20.04.6
acme	1.1.0	acme	1.1.0-1
acora	2.2	acora	2.2-1.2build1
acoustid	$	acoustid	1.1.5-2build1
actdiag	0.5.4	actdiag	0.5.4+dfsg-1.1
actionlib-msgs	$	actionlib_msgs	1.12.7-2
actionlib	$	actionlib	1.12.0-4ubuntu1
activipy	0.1	activipy	0.1-7
adal	1.2.2	adal	1.2.2-1
admesh	0.98.9	admesh	0.98.9-2build1
aeidon	1.7	aeidon	1.7-1
affine	2.3.0	affine	2.3.0-1
agate	1.6.0	agate	1.6.0-3
agatedbf	$	agatedbf	0.2.0-2
agateexcel	$	agateexcel	0.2.3-1
agatesql	$	agatesql	0.5.2-2
aggdraw	1.3.11	aggdraw	1.3.11-2build2
aioamqp	0.14.0	aioamqp	0.14.0-1
aiocoap	0.3	aiocoap	0.3-3
aiodns	2.0.0	aiodns	2.0.0-1
aiofiles	0.4.0	aiofiles	0.4.0-3
aiohttp-cors	0.7.0	aiohttp_cors	0.7.0-1
aiohttp-dbg	#	#	3.6.2-1ubuntu1
aiohttp-jinja2	0.8.0	aiohttp_jinja2	0.8.0-1
aiohttp-mako	0.0.1	aiohttp_mako	0.0.1-1
aiohttp-security	0.4.0	aiohttp_security	0.4.0-2
aiohttp-session	2.9.0	aiohttp_session	2.9.0-2
aiohttp-socks	0.3.3	aiohttp_socks	0.3.3-1
aiohttp-wsgi	0.8.2	aiohttp_wsgi	0.8.2-2
aiohttp	3.6.2	aiohttp	3.6.2-1ubuntu1
aioice	0.6.14	aioice	0.6.14-2
aiomeasures	0.5.14	aiomeasures	0.5.14-3
aiomysql	0.0.20	aiomysql	0.0.20-2
aioopenssl	0.4.1	aioopenssl	0.4.1-2
aiopg	1.0.0	aiopg	1.0.0-1
aioprocessing	1.0.1	aioprocessing	1.0.1-4
aioredis	1.3.1	aioredis	1.3.1-1
aioresponses-doc	#	#	0.6.3-1
aioresponses	0.6.3	aioresponses	0.6.3-1
aiorpcx	0.18.4	aiorpcx	0.18.4-1
aiorwlock	0.6.0	aiorwlock	0.6.0-2
aiosasl	0.4.0	aiosasl	0.4.0-1
aiosmtpd	1.2	aiosmtpd	1.2-3
aiosqlite	0.11.0	aiosqlite	0.11.0-1
aiowsgi	0.7	aiowsgi	0.7-1
aioxmlrpc	0.5	aioxmlrpc	0.5-1
aioxmpp-doc	#	#	0.10.3-3
aioxmpp	0.10.3	aioxmpp	0.10.3-3
airr	1.2.1	airr	1.2.1-2
ajax-select	1.7.0	ajax_select	1.7.0-3
ajpy	0.0.4	ajpy	0.0.4-2
alabaster	0.7.8	alabaster	0.7.8-1build1
alembic	1.1.0	alembic	1.1.0-1ubuntu1
alignlib	0.1.1	alignlib	0.1.1+dfsg-1ubuntu2
all-dbg	#	#	3.8.2-0ubuntu2
all-dbg	#	#	3.8.2-0ubuntu2
all-dev	#	#	3.8.2-0ubuntu2
all-dev	#	#	3.8.2-0ubuntu2
all	#	#	3.8.2-0ubuntu2
all	#	#	3.8.2-0ubuntu2
alsaaudio	$	alsaaudio	0.8.4-1.1build1
altgraph	0.17	altgraph	0.17+ds0-1
amp	$	amp	0.6.1-1build2
amqp	2.5.2	amqp	2.5.2-0ubuntu1
amqplib	1.0.2	amqplib	1.0.2-2
angles	1.9.12	angles	1.9.12-1
aniso8601	8.0.0	aniso8601	8.0.0-1
anosql	1.0.1	anosql	1.0.1-1
ansi	0.1.3	ansi	0.1.3-1
ansimarkup	1.4.0	ansimarkup	1.4.0-2
antlr3	3.4	antlr3	3.5.2-7
antlr	2.7.5rc1	antlr	2.7.7+dfsg-10build1
anyjson	0.3.3	anyjson	0.3.3-2
aodh	10.0.0	aodh	10.0.0-0ubuntu0.20.04.1
aodhclient	1.1.1	aodhclient	1.1.1-0ubuntu3
apertium-core	$	apertium_core	3.6.1-1build2
apertium-lex-tools	0.2.3	apertium_lex_tools	0.2.3-1build2
apipkg	1.5	apipkg	1.5-4build1
aplpy	2.0.3	aplpy	2.0.3-1
apparmor	2.13.3	apparmor	2.13.3-7ubuntu5.1
apparmor	2.13.3	apparmor	2.13.3-7ubuntu5.1
appdirs	1.4.3	appdirs	1.4.3-2.1
applicationinsights	0.11.9	applicationinsights	0.11.9-2
apport	$	apport	2.20.11-0ubuntu27.25
apptools	4.5.0	apptools	4.5.0-1
apriltag	$	apriltag	0.10.0-6build1
apscheduler	0.0.0	apscheduler	3.6.3-1
apsw-dbg	&	&	3.28.0-r1-1ubuntu4
apsw	3.28.0.post1	apsw	3.28.0-r1-1ubuntu4
apt-dbg	#	#	2.0.0ubuntu0.20.04.8
apt-dbg	#	#	2.0.0ubuntu0.20.04.8
apt	$	apt	2.0.0ubuntu0.20.04.8
apt	$	apt	2.0.0ubuntu0.20.04.8
aptdaemon.gtk3widgets	$	aptdaemon	1.1.1+bzr982-0ubuntu32.3
aptdaemon.test	$	aptdaemon	1.1.1+bzr982-0ubuntu32.3
aptdaemon	1.1.1	aptdaemon	1.1.1+bzr982-0ubuntu32.3
aptly	$	aptly	0.12.10-2
arcus	#	#	4.4.1-2build1
argcomplete	1.8.1	argcomplete	1.8.1-1.3ubuntu1
argh	0.26.2	argh	0.26.2-1.1
argon2	18.3.0	argon2	18.3.0-2build1
argparse-manpage	1.2.2	#	1.2.2-1
args	0.1.0	args	0.1.0-3
arpy	1.1.1	arpy	1.1.1-4
arrayfire	3.3.20160624.post1	arrayfire	3.3.20160624-3
arrow	0.15.5	arrow	0.15.5-1
artifacts	20190320	artifacts	20190320-3
asciitree	0.3.3	asciitree	0.3.3-2
asdf	2.5.1	asdf	2.5.1-1
ase	3.19.0	ase	3.19.0-1
asgiref	3.2.3	asgiref	3.2.3-1
